げんじてん	ɡẽɴʑitẽɴ
じか	dʑikɑ
げんか	ɡẽɴkɑ
とうせい	toːseː
とうせつ	toːsetsɯ̥
きょうび	kjoːbi
とうだい	toːdɑi
げんせ	ɡẽɴse
げんせい	ɡẽɴseː
こんじょう	kõɴʑoː
そっこん	sokkõɴ
きょうあす	kjoːɑsɯ̥
ことし	kotoɕi
こんねん	kõɴnẽɴ
こんじ	kõɴʑi
ほんねん	hõɴnẽɴ
とうねん	toːnẽɴ
こんき	kõɴki̥
こんしいずん	kõɴɕiːzɯ̃ɴ
こんしゅん	kõɴɕɯ̃ɴ
こんしゅう	kõɴɕɯː
こんげつ	kõɴŋetsɯ̥
ほんげつ	hõɴŋetsɯ̥
とうげつ	toːŋetsɯ̥
こんしゅう	kõɴɕɯː
きょう	kjoː
こんにち	kõɴnʲitɕi̥
ほんじつ	hõɴʑitsɯ̥
けさ	kesɑ
こんぎょう	kõɴŋjoː
こんばん	kõmbãɴ
こんせき	kõɴseki̥
こんゆう	kõɴyɯː
こよい	koyoi
こんや	kõɴyɑ
こんど	kõɴdo
こんぱん	kõɴpãɴ
こんかい	kõɴkɑi
こんじ	kõɴʑi
このたび	konotɑbi
とうめん	toːmẽɴ
とうざ	toːzɑ
ここ	koko
かこ	kɑko
きおう	kioː
むかし	mɯkɑɕi
そのむかし	sonomɯkɑɕi
むかしむかし	mɯkɑɕimɯkɑɕi
おおむかし	oːmɯkɑɕi̥
ひとむかし	çi̥tomɯkɑɕi̥
せきねん	sekinẽɴ
せきじつ	sekiʑitsɯ̥
せきじ	sekiʑi
おうせき	oːseki
そのかみ	sonokɑmi
いにしえ	inʲiɕie
おうこ	oːko
おうじ	oːʑi
こしかた	koɕi̥kɑtɑ
きしかた	ki̥ɕi̥kɑtɑ
おうねん	oːnẽɴ
とうねん	toːnẽɴ
せんねん	sẽɴnẽɴ
ひところ	çi̥tokoɾo
ひときり	çi̥tokiɾi
ぜんせ	zẽɴse
ぜんせい	zẽɴseː
しゅくせ	ɕɯ̥kɯse
すくせ	sɯ̥kɯse
ありしひ	ɑɾiɕi̥çi
もと	moto
きゅう	kjɯː
せん	sẽɴ
いましがた	imɑɕiŋɑtɑ
せんこく	sẽɴkokɯ̥
さいぜん	sɑizẽɴ
さき	sɑki
さっき	sɑk̚ki̥
さきほど	sɑki̥hodo
このまえ	konomɑe
このあいだ	konoɑidɑ
こないだ	konɑidɑ
せんだって	sẽɴdɑt̚te
せんじつ	sẽɴʑitsɯ̥
かじつ	kɑʑitsɯ̥
きのうきょう	kinoːkjoː
さきごろ	sɑkiŋoɾo
せんぱん	sẽɴpãɴ
せんど	sẽɴdo
かはん	kɑhãɴ
いつぞや	itsɯzoyɑ
さっこん	sɑkkõɴ
さいきん	sɑikĩɴ
ちょっきん	tɕok̚kĩɴ
ちかごろ	tɕi̥kɑŋoɾo
このほど	konohodo
きんねん	kĩɴnẽɴ
きんらい	kĩɴɾɑi
きんじ	kĩɴʑi
きょねん	kjonẽɴ
さくねん	sɑkɯnẽɴ
かくねん	kɑkɯnẽɴ
きゅうねん	kjɯːnẽɴ
こぞ	kozo
おととし	ototoɕi̥
いっさくねん	issakɯnẽɴ
さきおととし	sɑkiototoɕi̥
いっさくさくねん	issakɯ̥sɑkɯnẽɴ
せんげつ	sẽɴŋetsɯ̥
せんせんげつ	sẽɴsẽɴŋetsɯ̥
きゅうろう	kjɯːɾoː
きゅうとう	kjɯːtoː
せんしゅう	sẽɴɕɯː
せんせんしゅう	sẽɴsẽɴɕɯː
きのう	kinoː
さくじつ	sɑkɯʑitsɯ̥
いえすたでえ	iesɯ̥tɑdeː
きぞ	kizo
おととい	ototoi
いっさくじつ	issakɯʑitsɯ̥
さきおととい	sɑkiototoi
せんせんじつ	sẽɴsẽɴʑitsɯ̥
いっさくさくじつ	issakɯ̥sɑkɯʑitsɯ̥
ゆうべ	yɯːbe
さくばん	sɑkɯbãɴ
さくゆう	sɑkɯyɯː
さくや	sɑkɯyɑ
やぜん	yɑzẽɴ
いっさくばん	issakɯbãɴ
せんばん	sẽɴbãɴ
せんや	sẽɴyɑ
やらい	yɑɾɑi
これまで	koɾemɑde
じゅうらい	dʑɯːɾɑi
じゅうぜん	dʑɯːzẽɴ
きゅうらい	kjɯːɾɑi
ざいらい	zɑiɾɑi
ねんらい	nẽɴɾɑi
こらい	koɾɑi
えいねん	eːnẽɴ
ながねん	nɑŋɑnẽɴ
ながねん	nɑŋɑnẽɴ
たねん	tɑnẽɴ
いぜん	izẽɴ
とう	toː
とっく	tokkɯ
とうのむかし	toːnomɯkɑɕi̥
とっくのむかし	tokkɯnomɯkɑɕi̥
しょうらい	ɕoːɾɑi
みらい	miɾɑi
みぜん	mizẽɴ
こんご	kõɴŋo
こうご	koːŋo
これから	koɾekɑɾɑ
このあと	konoɑto
さき	sɑki
さきざき	sɑkizɑki̥
ゆくゆく	yɯkɯyɯkɯ
あとあと	ɑtoɑto
のちのち	notɕinotɕi
さきゆき	sɑkiyɯki
ゆくすえ	yɯkɯ̥sɯe
ぜんと	zẽɴto
いっすんさき	issɯ̃ɴsɑki̥
おいさき	oisɑki
おいさき	oisɑki
らいせ	ɾɑise
こうせい	koːseː
ごしょう	ɡoɕoː
こうだい	koːdɑi
のちのよ	notɕinoyo
いご	iŋo
すえ	sɯe
のち	notɕi
むこう	mɯkoː
ゆくえ	yɯkɯe
ゆくさき	yɯkɯ̥sɑki
いくさき	ikɯ̥sɑki
ごこく	ɡokokɯ̥
きんじつ	kĩɴʑitsɯ̥
ごじつ	ɡoʑitsɯ̥
こうねん	koːnẽɴ
そうばん	soːbãɴ
たじつ	tɑʑitsɯ̥
たねん	tɑnẽɴ
やがて	yɑŋɑte
もくしょうのかん	mokɯ̥ɕoːnokãɴ
もくぜん	mokɯzẽɴ
まぢか	mɑʑikɑ
みょうねん	mjoːnẽɴ
らいねん	ɾɑinẽɴ
みょうしゅん	mjoːɕɯ̃ɴ
らいしゅん	ɾɑiɕɯ̃ɴ
らいはる	ɾɑihɑɾɯ
さらいねん	sɑɾɑinẽɴ
みょうごねん	mjoːŋonẽɴ
らいがくねん	ɾɑiŋɑkɯnẽɴ
らいがっき	ɾɑiŋɑk̚ki̥
らいき	ɾɑiki̥
